date,O3_column_number_density,airshed
2019-01-15,0.1122379423420844,delhi
2019-01-30,0.12093632740212833,delhi
2019-02-15,0.12129452402588585,delhi
2019-03-02,0.11475668163023686,delhi
2019-03-15,0.12050205348315912,delhi
2019-03-30,0.12508711458816732,delhi
2019-04-15,0.12581949326718186,delhi
2019-04-30,0.12345079454783625,delhi
2019-05-15,0.12306526539540431,delhi
2019-05-30,0.1269545500974731,delhi
2019-06-15,0.12801433328406844,delhi
2019-06-30,0.12849461446528002,delhi
2019-07-15,0.1287607567650488,delhi
2019-07-30,0.12660531566447267,delhi
2019-08-15,0.12434533081314147,delhi
2019-08-30,0.12611684271613519,delhi
2019-09-15,0.123149139192669,delhi
2019-09-30,0.12284048734620308,delhi
2019-10-15,0.12386767381877585,delhi
2019-10-30,0.12205385258659575,delhi
2019-11-15,0.11502319606575853,delhi
2019-11-30,0.11497605176377328,delhi
2019-12-15,0.11596586181007479,delhi
2019-12-30,0.1313862571790365,delhi
2020-01-15,0.12430806389349883,delhi
2020-01-30,0.1289829735134236,delhi
2020-02-15,0.1280649591385863,delhi
2020-03-01,0.13799614084438402,delhi
2020-03-15,0.1365867006029484,delhi
2020-03-30,0.13836134788021165,delhi
2020-04-15,0.13584155960713848,delhi
2020-04-30,0.13385261993290481,delhi
2020-05-15,0.1332910107163025,delhi
2020-05-30,0.12619040186915761,delhi
2020-06-15,0.12583461869750553,delhi
2020-06-30,0.12561911935941034,delhi
2020-07-15,0.12389983993129917,delhi
2020-07-30,0.12347986438404865,delhi
2020-08-15,0.12080438917351247,delhi
2020-08-30,0.11977661815199053,delhi
2020-09-15,0.12297282194711853,delhi
2020-09-30,0.1203400064875436,delhi
2020-10-15,0.11715164090326304,delhi
2020-10-30,0.1169285549102501,delhi
2020-11-15,0.12110442353428377,delhi
2020-11-30,0.12515096092152156,delhi
2020-12-15,0.11642835709683393,delhi
2020-12-30,0.11891034250058406,delhi
2021-01-15,0.11373376904029679,delhi
2021-01-30,0.11429707843157058,delhi
2021-02-15,0.13219875614218196,delhi
2021-03-02,0.12467968329197837,delhi
2021-03-15,0.12607094108913042,delhi
2021-03-30,0.12920355569376785,delhi
2021-04-15,0.13005337886098392,delhi
2021-04-30,0.13427699745898644,delhi
2021-05-15,0.1359869645437047,delhi
2021-05-30,0.12791988365091123,delhi
2021-06-15,0.12899949707864244,delhi
2021-06-30,0.1291927284659908,delhi
2021-07-15,0.12915486611225385,delhi
2021-07-30,0.12783912354387816,delhi
2021-08-15,0.1275363746729445,delhi
2021-08-30,0.1266005846422016,delhi
2021-09-15,0.1254671291927101,delhi
2021-09-30,0.1259570102528085,delhi
2021-10-15,0.12286042596140845,delhi
2021-10-30,0.11815541409183927,delhi
2021-11-15,0.12127715023021793,delhi
2021-11-30,0.11758236415426905,delhi
2021-12-15,0.12147646272187318,delhi
2021-12-30,0.12641181672861768,delhi
2022-01-15,0.12554637236167168,delhi
2022-01-30,0.12436245066869238,delhi
2022-02-15,0.13098422170152957,delhi
2022-03-02,0.13598748676989653,delhi
2022-03-15,0.13555340564570925,delhi
2022-03-30,0.1267034438926907,delhi
2022-04-15,0.13100313765275087,delhi
2022-04-30,0.13392610699661886,delhi
2022-05-15,0.1299859627694165,delhi
2022-05-30,0.13156531128504972,delhi
2022-06-15,0.1310447064196704,delhi
2022-06-30,0.13224821524087746,delhi
