date,SO2_column_number_density,airshed
2019-01-15,9.685796422728805e-05,delhi
2019-01-30,5.8006614275974074e-05,delhi
2019-02-15,0.00042058748814516225,delhi
2019-03-02,0.0001331679596423324,delhi
2019-03-15,0.00017162294285139295,delhi
2019-03-30,0.00022632691157828755,delhi
2019-04-15,0.0002779855581959764,delhi
2019-04-30,0.00018257038769592263,delhi
2019-05-15,0.00016732183381359625,delhi
2019-05-30,0.00010293412613311151,delhi
2019-06-15,0.0001902025563554893,delhi
2019-06-30,8.404938327666643e-05,delhi
2019-07-15,1.862444356403212e-05,delhi
2019-07-30,-9.873194061448174e-05,delhi
2019-08-15,2.5589522833901128e-05,delhi
2019-08-30,6.11812878066428e-05,delhi
2019-09-15,2.1919876998886745e-05,delhi
2019-09-30,-6.230029822435113e-05,delhi
2019-10-15,9.312447908519611e-05,delhi
2019-10-30,-6.856381260950907e-05,delhi
2019-11-15,2.280776186564095e-05,delhi
2019-11-30,9.508336771023056e-05,delhi
2019-12-15,0.00031639780258954024,delhi
2019-12-30,0.00042417203588967914,delhi
2020-01-15,0.000416134522841644,delhi
2020-01-30,0.00025325010523375753,delhi
2020-02-15,0.000181019309521189,delhi
2020-03-01,0.00016689409182102884,delhi
2020-03-15,0.0001882685878139316,delhi
2020-03-30,0.00020067807101419898,delhi
2020-04-15,0.00021642828989260459,delhi
2020-04-30,0.00016865730828693925,delhi
2020-05-15,0.00010103359149741486,delhi
2020-05-30,0.00017262339508397826,delhi
2020-06-15,6.0474799713923986e-05,delhi
2020-06-30,1.1035196387661863e-05,delhi
2020-07-15,-8.303759206141058e-05,delhi
2020-07-30,-9.319532180800282e-05,delhi
2020-08-15,-0.00010269967144227714,delhi
2020-08-30,2.915148852600225e-05,delhi
2020-09-15,3.477953343872836e-05,delhi
2020-09-30,7.676726494992152e-05,delhi
2020-10-15,0.00016546911353298405,delhi
2020-10-30,5.8558197747520525e-05,delhi
2020-11-15,6.556973601409683e-05,delhi
2020-11-30,0.00023581640642361521,delhi
2020-12-15,0.0004389016223314262,delhi
2020-12-30,0.0004334978958249152,delhi
2021-01-15,0.00029026766330005565,delhi
2021-01-30,0.00017010576106082467,delhi
2021-02-15,0.0003917859648460495,delhi
2021-03-02,0.00014388571150811082,delhi
2021-03-15,0.000200683446026877,delhi
2021-03-30,4.5580090115686717e-05,delhi
2021-04-15,0.00019128489192043205,delhi
2021-04-30,0.0001974452447743215,delhi
2021-05-15,0.000181718396181625,delhi
2021-05-30,0.00015563149290092178,delhi
2021-06-15,8.083770739329097e-05,delhi
2021-06-30,9.343143707166194e-05,delhi
2021-07-15,5.3201899045409416e-05,delhi
2021-07-30,-3.8171318425249626e-05,delhi
2021-08-15,2.2924381079566265e-05,delhi
2021-08-30,0.00010331047679759437,delhi
2021-09-15,9.7303770681534e-06,delhi
2021-09-30,7.765466050217983e-05,delhi
2021-10-15,0.00012145051615566057,delhi
2021-10-30,0.00015697700234007191,delhi
2021-11-15,0.0002430904701389571,delhi
2021-11-30,0.0004153758489203311,delhi
2021-12-15,0.00030495369264716424,delhi
2021-12-30,0.0003950716610106462,delhi
2022-01-15,0.000601792683288181,delhi
2022-01-30,0.00019182479486631196,delhi
2022-02-15,0.000372205700356063,delhi
2022-03-02,0.00017136791365140696,delhi
2022-03-15,8.577499355167013e-05,delhi
2022-03-30,0.00027239966586957166,delhi
2022-04-15,0.0002359519620269441,delhi
2022-04-30,0.00018382409244469317,delhi
2022-05-15,9.068530831617438e-05,delhi
2022-05-30,0.00011430639762445054,delhi
2022-06-15,0.0001378302445452141,delhi
2022-06-30,8.041306649214643e-05,delhi
